Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
[MirrorSceneDataset] Found 1000 scenes in data/synthetic/train
[MirrorSceneDataset] Found 200 scenes in data/synthetic/val
[DualHeadVGGT] Total params: 1354.5M
[DualHeadVGGT] Trainable params: 163.9M
[DualHeadVGGT] Frozen params: 1190.6M
============================================================
Starting Dual-Head Layered Baseline
  Train scenes: 1000
  Val scenes: 200
  Epochs: 20
  Device: cuda
============================================================
/mnt/afs/zhengmingkai/miniconda3/envs/rdh/lib/python3.12/site-packages/torch/nn/functional.py:6001: UserWarning: 1Torch was not compiled with memory efficient attention. (Triggered internally at /workspace/framework/mcPytorch/aten/src/ATen/native/transformers/cuda/sdp_utils.cpp:738.)
  return _scaled_dot_product_attention(query, key, value, attn_mask, dropout_p, is_causal, scale = scale, enable_gqa = enable_gqa)
[Epoch 1/20] Step 610/1000 | Loss: 3.8848 | L_primary: 1.9255 | L_secondary: 2.0668 | L_mask: 0.0227
[Epoch 1/20] Step 620/1000 | Loss: 4.0056 | L_primary: 2.0799 | L_secondary: 2.2519 | L_mask: 0.1020
[Epoch 1/20] Step 630/1000 | Loss: 3.8372 | L_primary: 1.9153 | L_secondary: 2.1934 | L_mask: 0.1420
[Epoch 1/20] Step 640/1000 | Loss: 4.2061 | L_primary: 2.2311 | L_secondary: 2.5216 | L_mask: 0.0840
[Epoch 1/20] Step 650/1000 | Loss: 3.8930 | L_primary: 2.0865 | L_secondary: 2.1968 | L_mask: 0.0168
[Epoch 1/20] Step 660/1000 | Loss: 3.6945 | L_primary: 2.3897 | L_secondary: 2.5320 | L_mask: 0.1843
[Epoch 1/20] Step 670/1000 | Loss: 3.6834 | L_primary: 1.1355 | L_secondary: 1.7355 | L_mask: 0.1629
[Epoch 1/20] Step 680/1000 | Loss: 3.6412 | L_primary: 1.2836 | L_secondary: 2.3445 | L_mask: 0.2540
[Epoch 1/20] Step 690/1000 | Loss: 3.4240 | L_primary: 1.9445 | L_secondary: 2.0186 | L_mask: 0.2571
[Epoch 1/20] Step 700/1000 | Loss: 3.4265 | L_primary: 1.1149 | L_secondary: 1.5473 | L_mask: 0.0883
[Epoch 1/20] Step 710/1000 | Loss: 3.9030 | L_primary: 2.1320 | L_secondary: 2.2831 | L_mask: 0.0392
[Epoch 1/20] Step 720/1000 | Loss: 3.5820 | L_primary: 1.1602 | L_secondary: 1.2787 | L_mask: 0.1454
[Epoch 1/20] Step 730/1000 | Loss: 3.8716 | L_primary: 2.1480 | L_secondary: 2.2301 | L_mask: 0.0627
[Epoch 1/20] Step 740/1000 | Loss: 4.1860 | L_primary: 2.0695 | L_secondary: 2.1279 | L_mask: 0.0181
